Subject Number, Block, Trial Number, Dynomometer Response, Duration
16,NA,ITI,NA,1000
16,study,1,2,1000
16,study,study,NA,NA
16,NA,ITI,NA,1000
16,study,2,0,1500
16,study,study,NA,NA
16,NA,ITI,NA,1000
16,study,3,0,1000
16,study,study,NA,NA
16,NA,ITI,NA,1000
16,study,4,0,1500
16,study,study,NA,NA
16,NA,ITI,NA,1000
16,study,5,0,1000
16,study,study,NA,NA
16,NA,ITI,NA,1000
16,study,6,2,1500
16,study,study,NA,NA
16,NA,ITI,NA,1000
16,study,7,0,1000
16,study,study,NA,NA
16,NA,ITI,NA,1000
16,study,8,0,1500
16,study,study,NA,NA
16,NA,ITI,NA,1000
16,study,9,0,1000
16,study,study,NA,NA
16,NA,ITI,NA,1000
16,study,10,0,1500
16,study,study,NA,NA
16,NA,End of Block,NA,NA
16,NA,ITI,NA,1000
16,NA,Break,NA,NA
16,NA,ITI,NA,1000
16,NA,ITI,NA,1223
16,NA,Practice,4,NA
16,NA,ITI,NA,1523
16,NA,Practice,4,NA
16,NA,ITI,NA,1551
16,NA,Practice,4,NA
16,NA,ITI,NA,1045
16,NA,Practice,4,NA
16,NA,ITI,NA,1361
16,NA,Practice,3,NA
16,NA,ITI,NA,1223
16,NA,Practice,4,NA
16,NA,ITI,NA,1689
16,NA,Practice,3,NA
16,NA,ITI,NA,1163
16,NA,Practice,3,NA
16,NA,ITI,NA,1070
16,NA,Practice,3,NA
16,NA,ITI,NA,1941
16,NA,Practice,3,NA
16,NA,ITI,NA,1564
16,NA,Practice,4,NA
16,NA,ITI,NA,1078
16,NA,Practice,3,NA
16,NA,ITI,NA,1723
16,NA,Practice,3,NA
16,NA,ITI,NA,1158
16,NA,Practice,3,NA
16,NA,ITI,NA,1250
16,NA,Practice,4,NA
16,NA,ITI,NA,1293
16,NA,Practice,4,NA
16,NA,ITI,NA,1697
16,NA,Practice,4,NA
16,NA,ITI,NA,1464
16,NA,Practice,4,NA
16,NA,ITI,NA,1215
16,NA,Practice,4,NA
16,NA,ITI,NA,1447
16,NA,Practice,3,NA
16,NA,ITI,NA,1120
16,NA,Practice,4,NA
16,NA,ITI,NA,1918
16,NA,Practice,4,NA
16,NA,ITI,NA,1567
16,NA,Practice,4,NA
16,NA,ITI,NA,1472
16,NA,Practice,4,NA
16,NA,ITI,NA,1314
16,NA,Practice,3,NA
16,NA,Break,NA,NA
16,NA,ITI,NA,1000
16,NA,ITI,NA,1842
16,NA,test,4,NA
16,NA,ITI,NA,1400
16,NA,test,4,NA
16,NA,ITI,NA,1174
16,NA,test,4,NA
16,NA,ITI,NA,1299
16,NA,test,4,NA
16,NA,ITI,NA,1077
16,NA,test,3,NA
16,NA,ITI,NA,1829
16,NA,test,4,NA
16,NA,ITI,NA,1124
16,NA,test,4,NA
16,NA,ITI,NA,1910
16,NA,test,3,NA
16,NA,ITI,NA,1677
16,NA,test,4,NA
16,NA,ITI,NA,1766
16,NA,test,3,NA
