Subject Number, Block, Trial Number, Dynomometer Response, Duration
31,NA,ITI,NA,1000
31,study,1,1,1000
31,study,study,NA,NA
31,NA,ITI,NA,1000
31,study,2,0,1500
31,study,study,NA,NA
31,NA,ITI,NA,1000
31,study,3,0,1000
31,study,study,NA,NA
31,NA,ITI,NA,1000
31,study,4,0,1500
31,study,study,NA,NA
31,NA,ITI,NA,1000
31,study,5,0,1000
31,study,study,NA,NA
31,NA,ITI,NA,1000
31,study,6,0,1500
31,study,study,NA,NA
31,NA,ITI,NA,1000
31,study,7,0,1000
31,study,study,NA,NA
31,NA,ITI,NA,1000
31,study,8,0,1500
31,study,study,NA,NA
31,NA,ITI,NA,1000
31,study,9,0,1000
31,study,study,NA,NA
